school,state,subject,course_level,time,location,group_type
Benedictine University at Mount Prospect Police Department,Maine,Naval Architecture,700,2022-12-28,"[42.0630078, -87.934311]",Group
Benedictine University at Waukegan Police Department,Washington,Urban Studies,200,2022-09-30,"[42.361250399999996, -87.83509749999997]",Partner
Regis University at Choice Healthcare,North Carolina,Recreation Management,300,2022-09-27,"[40.4628045, -106.81581000000001]",Partner
Ivy Tech Community College of Indiana at Delta High School,Nevada,Forensic Science,500,2021-11-30,"[40.278546, -85.34763799999998]",Partner
University of the District of Columbia at North Capitol Street Center,Massachusetts,Welding Engineering ,800,2022-07-31,"[38.9004692, -77.0086917]",Partner
Center for Employment Training - San Diego,Massachusetts,Dental Hygiene,200,2022-11-28,"[32.711527600000004, -117.12258390000001]",Partner
National University -  Bakersfield,Hawaii,Teacher Education ,600,2022-10-29,"[35.3673328, -119.0539318]",Group
Olivet Nazarene University at Kolb Elementary School,Florida,Oceanography,800,2021-08-27,"[41.7177336, -87.78793859999998]",Group
Concordia University Chicago at Steeple Run School,South Carolina,Landscape Horticulture,700,2021-08-31,"[41.78265, -88.1050166]",Partner
Old Town,Nevada,Biomedical Science,800,2021-08-30,"[37.6889277, -97.32979990000001]",Group
Capitol Technology University,Michigan,English Composition ,600,2021-10-29,"[39.0470439, -76.85213900000001]",Partner
Ocala Regional Campus,Hawaii,Recording Arts Technology,200,2021-09-30,"[29.16198189999999, -82.1733114]",Partner
Carrington College California - Branch Campus Emeryville,Massachusetts,Speech Pathology ,600,2022-07-29,"[37.8468435, -122.29306499999998]",Partner
National University of Health Sciences,New York,Medical Technology,800,2021-08-28,"[41.8608194, -88.01298949999997]",Group
The University of West Florida,Georgia,Classics,200,2022-12-29,"[30.5491387, -87.21858619999998]",Group
University of St. Francis at Christ Center Church,Virginia,Religious Studies,500,2021-11-28,"[25.7034152, -80.3025686]",Group
Yates Center Senior High School,Iowa,Cognitive Psychology,400,2022-12-31,"[37.8867369, -95.7329851]",Group
Lake Forest Graduate School of Management at Lake Forest Hospital Acute Care Center,Mississippi,Artificial Intelligence and Robotics,600,2021-07-29,"[42.33739, -88.0122296]",Group
Lincoln Land Community College at Springfield FD,South Carolina,Radiologic Technology,100,2022-10-27,"[39.7920769, -89.60783649999998]",Group
Pacific Oaks College -  Pacific Oaks College-San Jose Campus,Mississippi,Gay and Lesbian Studies,400,2022-11-29,"[37.3029625, -121.9505551]",Partner
"Indiana Wesleyan University at Ramada Plaza Hotel, Warsaw",Wyoming,Advertising,400,2022-10-28,"[41.238800700000006, -85.82010550000001]",Partner
Aurora University at Lee/Ogle Regional Office of Education,New Hampshire,Neurobiology ,500,2021-08-30,"[41.902739700000005, -89.40914609999999]",Group
Butler County Community College - Butler of Marion,Virginia,East Asian Studies ,300,2022-08-27,"[38.348255200000004, -97.0147115]",Partner
Southern Illinois University Edwardsville,Virginia,"African Languages, Literatures, and Linguistics",700,2021-09-29,"[38.7928034, -89.9953376]",Group
Johns Hopkins University at Raytheon Space & Airborne Systems Salt Lake City,South Carolina,Biblical Studies,400,2022-12-31,"[40.71971569999999, -111.9245631]",Partner
Florida State University College of Medicine,North Dakota,Paleontology,500,2022-07-29,"[30.4430401, -84.26995040000001]",Group
CSU San Bernardino - Palm Desert,Nevada,Textile Engineering ,200,2021-10-30,"[33.7766605, -116.3551183]",Partner
North Florida Technical College,Kentucky,Planetary Science,400,2021-08-31,"[29.951841700000003, -82.1158605]",Group
University of Phoenix at Armed Forces Reserve Center,Michigan,Industrial Design ,100,2021-11-28,"[31.805519800000003, -106.28558999999998]",Partner
Northern Illinois University at PALS Shorewood,Michigan,Religious Studies,200,2021-08-28,"[41.5169111, -88.21191740000002]",Group
Hawkeye Community College at Cedar Falls Center,Illinois,Agricultural Business and Management,800,2021-08-28,"[42.4905581, -92.4523023]",Group
Lake Land College at Pinckneyville Correctional Center,Nebraska,Rehabilitation Services,500,2021-11-27,"[38.083847399999996, -89.3258757]",Group
Cairo Extension Center,New York,Modern Greek ,600,2021-12-27,"[37.0056176, -89.17792800000001]",Group
National Louis University at Florida Regional Center,South Carolina,Music History ,200,2022-08-29,"[27.9930483, -82.54690529999998]",Partner
Strayer University - Virginia Beach Campus,New Jersey,Mathematics,400,2021-12-31,"[36.842965899999996, -76.13412059999999]",Group
East Georgia State College,Michigan,Athletic Training,500,2022-11-30,"[32.5933275, -82.30652280000002]",Partner
Lewis University at M. A. School Counseling,Texas,Computer Graphics,700,2022-12-31,"[41.3067399, -89.1010881]",Group
Olivet Nazarene University at Burbank (Luther) School,Idaho,Agronomy and Crop Science,800,2022-12-31,"[41.917759000000004, -87.7822516]",Partner
Bridgewater State University - Alden Elementary School,Massachusetts,Public Relations,600,2022-08-31,"[42.0461227, -70.68178359999999]",Partner
Herrera School,Louisiana,Actuarial Science,600,2021-12-30,"[33.435857899999995, -112.0586023]",Partner
South Lake Campus,Florida,Arabic ,700,2022-07-27,"[28.5515635, -81.70826290000001]",Partner
Irwin County EMA Center,Rhode Island,Ecology,200,2022-11-27,"[31.5782022, -83.2531262]",Partner
Iowa Wesleyan University,California,Hebrew,500,2022-10-28,"[40.9728375, -91.5526085]",Partner
Emperor's College of Traditional Oriental Medicine,District  of Columbia,Surveying ,400,2022-09-30,"[34.0303293, -118.4852375]",Partner
Eagle Valley High School,South Dakota,Journalism,800,2022-11-29,"[39.6433933, -106.94794270000001]",Group
Earlham College,Montana,Accounting,400,2022-08-29,"[39.825961799999995, -84.91333279999998]",Partner
Fort Leavenworth,Wyoming,Russian,100,2021-09-29,"[39.3734607, -94.9435579]",Group
International Academy of Hair Design - Mesa,Montana,Nuclear Engineering,100,2021-08-31,"[33.389508299999996, -111.8605382]",Group
Moorpark College,Alabama,Criminology,500,2021-10-30,"[34.29961420000001, -118.83419140000001]",Partner
The Garnett Automotive Training Center (GATC),Pennsylvania,Economics,800,2022-07-27,"[38.286381, -95.2421845]",Partner
Moody Bible Institute at Milwaukee,Wyoming,Sound Engineering,700,2021-10-30,"[43.16194960000001, -88.03730209999999]",Partner
Community College of Denver,North Dakota,Pre-Dentistry,800,2022-10-30,"[39.74130050000001, -105.0011656]",Partner
Parkland School,North Dakota,Interior Design,500,2022-08-31,"[42.353989399999996, -88.3047946]",Partner
Washburn Tech Academy of Cosmetology,Washington,Botany/Plant Biology,100,2022-11-27,"[39.01403579999999, -95.683366]",Group
Olivet Nazarene University at St. James Hospital,New Jersey,Slavic Languages and Literatures ,200,2021-12-29,"[41.50530379999999, -87.6399603]",Partner
Saint Mary's College of California - LEAP - Los Angeles,Utah,International Relations,400,2021-09-27,"[34.050351899999995, -118.242768]",Partner
"Delaware Technical and Community College Orlando J. George, Jr. Campus",Maine,Finance,800,2021-11-28,"[39.7404764, -75.5524293]",Partner
University of Phoenix - Sacramento Valley Campus,New York,Architectural History,200,2022-08-27,"[38.6220636, -121.51910179999999]",Group
University of Phoenix at Metro Health,Alabama,Native American Studies,200,2021-07-30,"[42.85752960000001, -85.7187828]",Group
Gilbert Community School District,South Dakota,Speech Pathology ,400,2022-11-29,"[42.1072111, -93.6418896]",Partner
University of Phoenix at Verdugo Hills Hospital,Pennsylvania,Art Therapy,700,2021-08-31,"[34.204497100000005, -118.2157467]",Partner
Maine Maritime Academy,Nebraska,Computer Systems Analysis ,700,2022-10-28,"[44.3885042, -68.8010997]",Group
"University of Arkansas, Fayetteville at UA Pine Bluff",South Dakota,Art Education ,600,2022-10-30,"[34.2262213, -92.0195428]",Group
Indiana Wesleyan University at WorkOne Express,Vermont,Architectural Engineering,200,2021-11-30,"[40.432888, -84.97762709999998]",Partner
Southern Illinois University Carbondale at Rend Lake College Market Place,Wisconsin,Mineral Engineering ,600,2022-10-29,"[38.3191671, -88.95627999999998]",Group
Harbor Occupational Center,Wisconsin,Radio and Television,100,2021-10-28,"[33.7498205, -118.2867808]",Partner
University of Maryland - University College at Bagram,Wisconsin,Bioethics,200,2021-07-31,"[38.91265, -76.847599]",Group
Hopkinsville Campus,Indiana,Mechanical Engineering,400,2021-07-31,"[36.80512, -87.47409449999998]",Partner
Samford University,Iowa,Circulation Technology,700,2022-11-30,"[33.4649218, -86.7913423]",Group
Boston University at South Middlesex Correctional Center (Prison Education Program),Maine,Industrial Engineering ,100,2022-11-29,"[42.329129200000004, -71.43559020000001]",Partner
Visalia Campus,Utah,"Hispanic-American, Puerto Rican, and Chicano Studies",800,2021-07-31,"[36.327784, -119.385069]",Partner
Ball Memorial Hospital,Texas,Dietetics,300,2022-08-31,"[40.197283, -85.41419300000001]",Partner
PJ's College of Cosmetology,Vermont,Engineering Physics,700,2021-11-29,"[39.8324489, -84.8427015]",Group
Sojourner-Douglass College Annapolis,Kansas,Food Science,300,2021-10-31,"[38.928493700000004, -76.5620622]",Group
University of Phoenix at Flint Learning Center,Vermont,Entrepreneurship ,800,2022-09-30,"[42.981547799999994, -83.76940499999998]",Partner
Morningside College at Lewis Central Middle School,Texas,Marine Biology,800,2022-08-29,"[41.221269, -95.8199736]",Group
National University -  Advance Kids SOFF-27,Oklahoma,Jazz Studies,200,2021-11-28,"[38.5624324, -121.33260959999998]",Partner
Concordia University Chicago at Lemont High School,Kentucky,Agricultural Economics,300,2022-09-29,"[41.6735297, -87.99158]",Partner
Lake Land College at Southwestern Correctional Center,West Virginia,Teacher Education ,200,2022-07-30,"[38.6169545, -90.09108640000001]",Partner
St. John's Seminary in California,Alaska,Geophysics,300,2022-10-27,"[34.243171000000004, -119.0054004]",Group
Ivy Tech Community College of Indiana at Academic Learning Center,North Dakota,Equine Studies,100,2021-10-29,"[41.437441899999996, -87.3341428]",Group
Upper Iowa University at Wausau: NTC - Phillips,Washington,Southeast Asia Studies ,200,2021-09-30,"[45.7069639, -90.420082]",Group
University of Phoenix - Placer County Auburn DeWitt Center,Nebraska,Japanese ,400,2022-09-28,"[38.9413256, -121.1071291]",Group
Future Forward at Bollman,Connecticut,Latin American Studies ,600,2021-11-28,"[39.8673151, -104.9786105]",Group
Louisiana Technical College - Bastrop Campus,Utah,Public Administration ,500,2021-08-28,"[32.7814549, -91.9374868]",Partner
Saint Joseph Seminary College,North Carolina,Public Health ,400,2022-11-29,"[30.5268522, -90.1136423]",Partner
Western Illinois University at Springfield Police Academy,Colorado,Tourism,100,2021-09-27,"[39.84764020000001, -89.6318381]",Group
Regis University at Arvada High School,Arkansas,Religious Studies,600,2021-10-31,"[39.8157929, -105.08478600000001]",Group
Career Academy of Hair Design,Georgia,Nuclear Engineering,600,2021-07-27,"[36.3550269, -94.1466981]",Partner
Ivy Tech Community College of Indiana at Union County High School,Illinois,Music Education,300,2022-11-28,"[39.6345265, -84.92126069999998]",Group
West Dade,Maryland,Digital Communications and Media/Multimedia,300,2021-08-30,"[25.8211174, -80.3279562]",Group
North Campus,Vermont,Animation and Special Effects,100,2021-07-27,"[28.5949189, -82.40545089999998]",Partner
Delaware State University Georgetown Campus,New Hampshire,"Hispanic-American, Puerto Rican, and Chicano Studies",300,2022-10-29,"[38.69032120000001, -75.3860337]",Group
Aesthetics Institute of Cosmetology,North Dakota,Sculpture ,700,2022-12-30,"[39.1875246, -78.14651099999998]",Group
University of Redlands - South Coast Metro,Pennsylvania,Information Technology,300,2021-10-27,"[33.697441999999995, -117.8660942]",Group
Cairo Extension Center,New Jersey,Biomedical Engineering,200,2022-09-28,"[37.004178100000004, -89.1696194]",Group
"University of Phoenix at Mt. San Jacinto College, Menifee Valley Campus",Louisiana,Cinematography and Film/Video Production,400,2022-12-28,"[33.6755248, -117.166921]",Group
Carrington College Branch Campus Pleasant Hill,Wisconsin,History,700,2021-08-30,"[37.962615500000005, -122.0721152]",Group
Georgia Southwestern State University,Arizona,Ocean Engineering ,200,2021-08-29,"[32.05603789999999, -84.21750809999998]",Partner
Mount Saint Mary's University - Doheny Campus,New Hampshire,Developmental Psychology ,400,2021-11-28,"[34.031087799999995, -118.2760959]",Partner
Indiana Wesleyan University at Bob Rohrman Toyota,Hawaii,Fashion Design,600,2021-11-27,"[40.41857329999999, -86.832655]",Group
Paul Mitchell The School Jacksonville,Oregon,Kinesiology,400,2022-10-30,"[30.259374400000002, -81.5276712]",Partner
University of Phoenix at Four Points Hotel by Sheraton,New Jersey,Agricultural/Biological Engineering and Bioengineering,100,2021-09-27,"[32.810874, -117.1492695]",Group
Johnson County Community College at Olathe Health Center,Washington,Furniture Design,700,2021-07-31,"[38.852405100000006, -94.8307587]",Group
Baker University at Country Inn Suites,Michigan,Political Science,400,2021-09-28,"[38.7890154, -97.6151071]",Group
Governors State University at Triton College,Rhode Island,Massage Therapy,700,2022-07-28,"[41.91503779999999, -87.83885889999998]",Group
Towson University at Waldorf Higher Education Center,Alabama,Equine Studies,500,2021-10-28,"[38.6225331, -76.91150090000001]",Partner
National Louis University at Manor Hill Elementary School,Maine,Music,100,2022-07-31,"[41.853849600000004, -88.01768340000001]",Group
Bunker Hill Community College - Chelsea Campus,Idaho,Technology Education,500,2021-10-30,"[42.3924179, -71.0338514]",Partner
"Olivet Nazarene University at Molex, INC",Oregon,Religious Studies,700,2022-07-31,"[41.796471999999994, -88.09738709999998]",Group
Indiana Wesleyan University at Clarion Hotel and Conference Center,Arizona,Biochemistry ,600,2021-09-29,"[39.8065955, -86.28421170000001]",Partner
Ivy Tech Community College of Indiana at Delta High School,South Dakota,Public Health ,700,2021-09-30,"[40.278546, -85.34763799999998]",Partner
ISU -- Boise Center,South Dakota,Church Music,400,2022-08-28,"[43.6588819, -116.33609340000001]",Group
Paine College,Vermont,Agriculture,400,2021-08-27,"[33.468210600000006, -81.99361800000001]",Group
"Indiana Wesleyan University at Best Western, Madison",South Carolina,Chiropractic,700,2021-11-28,"[38.7758244, -85.4006725]",Partner
Friends University at Seward County Community College - Liberal,Michigan,Spanish ,200,2021-08-29,"[37.060227399999995, -100.9178417]",Group
Yale-New Haven Hospital School of Nurse Anesthesia,Michigan,Materials Science ,500,2021-09-28,"[41.31124519999999, -72.94266970000001]",Partner
Ivy Tech Community College of Indiana at Bluffton High School,South Carolina,Pre-Veterinary Medicine,400,2022-07-27,"[40.72556180000001, -85.1638208]",Partner
Southern Illinois University Carbondale at Jacksonville Naval Air Station,Georgia,Game Design,600,2021-07-31,"[30.223403899999997, -81.68412009999999]",Group
Hamilton Campus,Maryland,Business Education,200,2021-11-28,"[34.1334456, -87.9909017]",Group
University of Phoenix at Marine Corps Air Station - Yuma Education Building,District  of Columbia,Recreation Management,400,2022-12-30,"[32.6576368, -114.5839789]",Partner
WM Penn University College for Working Adults/Ames,Alabama,Archeology ,400,2021-09-27,"[42.0078812, -93.6155274]",Group
University of Phoenix at Clackamas Campus,Minnesota,Child Care,400,2022-10-30,"[45.4323677, -122.56787959999998]",Partner
Rockland Center of University College,Maryland,Museum Studies,500,2021-12-30,"[44.1167411, -69.10328670000001]",Partner
AEA 267-Mason City Extension,Alabama,Philosophy,100,2022-08-30,"[43.157835299999995, -93.3313365]",Group
Grand Canyon University at St. Joseph Hospital,California,Physician Assistant,600,2022-12-27,"[33.4821999, -112.08040459999998]",Group
Des Moines Roosevelt High School,Colorado,Jewelry and Metalsmithing,600,2021-11-30,"[41.5929451, -93.680706]",Partner
"Chesapeake College - Center for Allied Health, Memorial Hospital",Utah,Radio and Television,800,2021-07-27,"[38.769388899999996, -76.076719]",Partner
Southern Illinois University Edwardsville at Millstadt School,Rhode Island,Child Care,300,2022-08-31,"[38.46302120000001, -90.0947076]",Partner
Southeastern Community College,New Mexico,Photojournalism,700,2022-09-28,"[40.8119203, -91.1737933]",Partner
The Landing School,South Carolina,Air Traffic Control,600,2021-11-29,"[43.3799417, -70.50351119999998]",Partner
Goshen High School,Louisiana,Dietetics,600,2022-07-31,"[41.5804716, -85.8233391]",Partner
Newman University at St. Rose Parish,Idaho,Industrial Engineering ,100,2021-12-29,"[38.36573840000001, -98.7621775]",Partner
Drake University at Kansas City Extension,Iowa,Ceramics ,500,2022-09-27,"[39.0431432, -94.59654509999999]",Partner
ITT Technical Institute - Albany,Oregon,Pharmacy ,700,2021-10-27,"[42.7363204, -73.8201265]",Partner
Emily Griffith Technical College,Minnesota,South Asian Studies,800,2021-08-27,"[39.7976744, -105.0118192]",Partner
SU - Art Inst of Dallas,Delaware,Agricultural Education,500,2022-07-31,"[32.8693368, -96.7683876]",Partner
Milwaukee Main-Liberty 1,Ohio,Public Administration ,400,2022-10-30,"[43.152682500000004, -88.05304160000001]",Partner
Future Forward at Washington Square,New Hampshire,Portuguese ,700,2022-10-27,"[39.9229283, -104.97823980000001]",Group
Alvareita's College of Cosmetology,Connecticut,Web Design,800,2022-09-28,"[38.931875899999994, -90.19228340000001]",Partner
Ft. Campbell Campus,Georgia,International Business ,300,2022-07-27,"[36.6398486, -87.44372829999998]",Partner
Saint Xavier University at East Peoria 02,Delaware,"Fiber, Textiles, and Weaving Arts",700,2022-07-27,"[40.6348384, -89.548805]",Group
University of St. Francis at LaGrange Area Dept. of Special Ed.,Missouri,Urban Planning,100,2022-09-28,"[41.811945200000004, -87.88676960000002]",Group
Maricopa Community Colleges - Mesa Community College at Red Mountain,Vermont,Range Science and Management,800,2021-08-31,"[33.4548197, -111.67621740000001]",Partner
Orange Coast College,Wisconsin,Animation and Special Effects,500,2021-10-28,"[33.6713265, -117.91170790000001]",Group
Kaskaskia College at Salem Education Center,Maine,Data Processing,100,2022-12-31,"[38.6273465, -88.9470688]",Partner
Concorde Career College,South Carolina,Russian,200,2022-12-28,"[34.0667834, -117.2840338]",Group
Daymar College - Online,Nevada,French,100,2021-09-29,"[38.1561506, -85.6842972]",Group
University of Phoenix at Countryside Inn & Suites,Wyoming,Ancient Studies ,600,2021-10-30,"[33.6654992, -117.88191880000001]",Group
McDaniel College at Anne Arundel Commmunity College at Arundel Mills,Virginia,Hospitality,300,2021-07-29,"[39.162498, -76.72362799999998]",Partner
Northern Illinois University at Carl Schurz High School,Florida,Oceanography,200,2021-09-30,"[41.9474657, -87.7352863]",Partner
Titusville Campus,Vermont,Planetary Science,700,2021-11-28,"[28.6334652, -80.8274929]",Partner
Ivy Tech Community College of Indiana at Kokomo Area Career Center,Wisconsin,Jewelry and Metalsmithing,400,2022-08-31,"[40.4565261, -86.1601158]",Partner
Purdue University-North Central at PNC Porter County,Alabama,Anthropology,600,2021-08-30,"[41.49254620000001, -87.0534005]",Partner
Talbot School of Theology - Manhattan location (Charles L. Feinberg Center),Louisiana,Mortuary Science ,400,2021-11-27,"[40.7559755, -73.96861059999998]",Group
National Louis University at Vernon Hills HS,Texas,Agronomy and Crop Science,200,2022-08-30,"[42.226754, -87.94895029999998]",Group
Parkland College at Construction Education Alliance,Connecticut,Child Care,200,2021-12-28,"[40.13057999999999, -88.27843089999998]",Group
St. Rita High School,New York,Game Design,700,2021-12-27,"[41.751727200000005, -87.68584849999998]",Partner
Concordia University Chicago at Lake Zurich High School,Minnesota,Industrial Engineering ,600,2021-11-30,"[42.2042957, -88.08356930000002]",Group
Emily Griffith Technical College,Utah,International Agriculture,700,2022-08-28,"[39.7681545, -104.8869531]",Group
Indiana Wesleyan University at Rolls Royce Allison,Connecticut,Physical Therapy,600,2022-09-28,"[39.7329653, -86.2166041]",Group
ITT Technical Institute - Columbus,Delaware,Criminal Science,800,2021-10-27,"[39.9338894, -82.86885759999998]",Partner
University of Phoenix at Plainfield,Arizona,Church Music,400,2022-12-29,"[39.7202384, -86.35426290000001]",Partner
Lakeland Campus,North Carolina,Circulation Technology,500,2022-08-29,"[27.9906672, -81.8900359]",Partner
MacDill Education Office,Arizona,Physical Therapy,600,2021-09-28,"[27.850474900000002, -82.48944879999998]",Partner
Ivy Tech Community College of Indiana at Public Safety Academy,Minnesota,Respiratory Therapy,500,2022-12-30,"[41.011556, -85.12150550000001]",Partner
Oceanside College of Beauty,California,Horticulture,200,2021-08-30,"[33.1783066, -117.3653659]",Group
Arizona State University - Cox Communications,Oklahoma,American Sign Language,600,2021-11-27,"[33.684486799999995, -112.093653]",Group
Olivet Nazarene University at OAK Orthopedics,Kansas,Forensic Science,200,2022-07-28,"[40.117104, -88.22775999999998]",Partner
Western Illinois University at Quad Cities Riverfront Campus,Alaska,Tourism,200,2021-11-27,"[41.5134744, -90.49266860000002]",Partner
Governors State University at Donald L. Morril Math & Science School,Arizona,Rehabilitation Services,700,2021-09-29,"[41.78402759999999, -87.68823270000001]",Group
Camp Dodge LIFE Program,Vermont,Naval Architecture,500,2021-12-31,"[41.6895101, -93.71630649999999]",Group
Emmanuel College at Brigham and Woman's Hospital,North Dakota,Cognitive Psychology,100,2022-11-29,"[42.336895500000004, -71.10915949999998]",Group
National Louis University at Jefferson MS,District  of Columbia,Latin American Studies ,100,2021-12-31,"[41.89723060000001, -87.9853832]",Group
University of Arizona - Pima Desert Vista,Wyoming,Latin American Studies ,700,2021-07-27,"[32.1454129, -110.98964679999999]",Group
National University -  Tulare City School District,Georgia,Biblical Studies,300,2022-12-31,"[36.2171289, -119.33728529999999]",Partner
Trine University Health Services Campus,Maine,English Composition ,800,2022-08-31,"[41.0919867, -85.1074311]",Partner
Aurora University at Grayslake School District,Washington,Medical Technology,500,2022-12-30,"[42.35344620000001, -88.03318019999998]",Group
University of Phoenix at The Centre at Sycamore Plaza,West Virginia,Entomology ,500,2021-10-30,"[33.849454200000004, -118.13333290000001]",Partner
"Boston University at Tyngsboro, MA",Wisconsin,Gay and Lesbian Studies,200,2021-08-28,"[42.65891939999999, -71.40818220000001]",Partner
University of Phoenix - Southern California Campus,Wisconsin,Mathematics,800,2021-12-31,"[33.6857413, -117.8848835]",Partner
Titusville Campus,Ohio,Biopsychology,700,2021-07-30,"[28.6334652, -80.8274929]",Group
Iowa Lakes Community College - Spirit Lake,Texas,Organizational Behavior Studies,400,2021-10-28,"[43.4202767, -95.1027433]",Partner
Benedictine University at Woodland Middle School,District  of Columbia,Massage Therapy,700,2022-12-28,"[42.3652554, -87.9762198]",Partner
Indiana Wesleyan University at Inn At Amish Acres,Montana,Dietetics,800,2021-11-29,"[41.4432183, -86.0156252]",Group
University of Phoenix - Little Rock Campus,Washington,Game Design,100,2021-12-29,"[34.74919879999999, -92.3952762]",Partner
Charter College - Lacey,Arizona,Experimental Psychology ,200,2021-09-30,"[47.036955, -122.82509209999999]",Partner
Diman Regional Technical Institute - School of Practical Nursing,Oregon,Pre-Optometry,400,2022-10-28,"[41.718542600000006, -71.15508270000001]",Partner
Concordia University Chicago at Wheaton North High School,Idaho,Agricultural Economics,300,2021-09-30,"[41.8834782, -88.1166303]",Partner
Mission College,Tennessee,Microbiology ,100,2022-09-30,"[37.3912164, -121.98204609999999]",Group
Cambridge College - Merrimack Valley Regional Center,New York,Pre-Seminary,600,2022-10-29,"[42.7028963, -71.1504777]",Group
Johns Hopkins University at Timonium Center,Massachusetts,American Literature,600,2022-12-31,"[39.4328622, -76.63139240000001]",Partner
National Louis University at UPS Addison,Florida,Industrial Design ,200,2022-08-29,"[41.9242697, -88.02499820000001]",Partner
University of Phoenix at The Phoenix Building,California,Child Care,600,2021-08-27,"[31.8477918, -106.62346609999999]",Partner
UMA at Rumford Center,Kentucky,American Studies,500,2021-08-31,"[44.5468564, -70.5450354]",Partner
Olivet Nazarene University at Evanston Township H.S.,Maine,Risk Management,700,2021-10-29,"[42.0475443, -87.6997693]",Partner
Saint Xavier University at Parkland Middle School,Pennsylvania,Pre-Dentistry,100,2022-10-29,"[42.353989399999996, -88.3047946]",Group
Carl Sandburg College - The Extension Center,Pennsylvania,Information Technology,200,2022-10-28,"[40.5511926, -90.5090113]",Partner
Johns Hopkins University at Higher Education and Applied Technology Center (HEAT),Iowa,Education Administration,100,2022-12-28,"[39.5286691, -76.1969843]",Partner
National Louis University at Jefferson High School,Washington,Industrial Design ,200,2021-11-28,"[43.0038644, -88.82014769999998]",Group
Shortridge Magnet High School for Law and Public Policy,Rhode Island,Mortuary Science ,700,2021-11-28,"[39.818108200000005, -86.15522440000001]",Group
The Catholic University of America at Capitol Hill,Illinois,Petroleum Engineering ,800,2022-09-29,"[38.8875787, -77.01215649999999]",Partner
Harlem High School,Mississippi,Planetary Science,800,2021-07-27,"[42.35737, -89.026274]",Group
"Strayer University at Verizon Wireless, Mankato",Ohio,Historic Preservation ,300,2022-08-30,"[44.1759529, -93.943901]",Partner
Western Connecticut Health Network Dietetic Internship,South Dakota,Dental Hygiene,800,2021-11-27,"[41.4050684, -73.4445166]",Partner
University of New Haven at Saybrook Point Inn & Spa,Arizona,Massage Therapy,600,2021-12-31,"[41.283524799999995, -72.3505832]",Group
Amridge University,Vermont,Pre-Medicine ,700,2021-07-27,"[32.3626131, -86.17382490000001]",Group
Oakland City University at Branchville Correctional Facility,Colorado,Marine Science,600,2021-09-27,"[37.94893, -86.7702213]",Group
Appalachian Technical College,Texas,Landscape Architecture ,600,2022-09-30,"[34.47072429999999, -84.4255548]",Partner
Pleasure Ridge Park HS,Tennessee,"African Languages, Literatures, and Linguistics",700,2021-08-27,"[38.146142, -85.863417]",Partner
Olivet Nazarene University at First Baptist Congregational Church,Indiana,Culinary Arts,300,2022-07-30,"[41.883052299999996, -87.6673986]",Group
Mount St Mary's University at Carroll Community College,Connecticut,Biblical Studies,200,2022-08-28,"[39.5297287, -76.99363670000001]",Group
Balsz Elementary District,Illinois,Land Use Planning and Management,400,2022-10-30,"[33.46127, -111.98913780000001]",Group
Southern Arkansas University Tech at Texarkana,Vermont,Gerontology ,200,2022-09-30,"[33.455424900000004, -93.9966412]",Group
Santa Clara University - East San Jose,New Jersey,Art History,500,2022-07-27,"[37.3598845, -121.8160472]",Partner
Northland Pioneer College - White Mountain,Arizona,Forestry ,700,2022-07-29,"[34.2447938, -110.0529457]",Group
Lincoln College of Technology - Denver,Louisiana,Circulation Technology,400,2021-12-29,"[39.776513, -104.856172]",Group
Arkansas State University-Beebe Little Rock Air Force Base,North Dakota,Data Processing,100,2022-08-31,"[34.887953, -92.1117892]",Group
Heat & Frost Insulators,Virginia,Computer Systems Analysis ,400,2021-10-31,"[33.4500864, -112.0253273]",Partner
University of Maine at Augusta at Lewiston Auburn College/USM ITV receive,New Jersey,Criminology,100,2022-10-31,"[44.0761559, -70.17147890000001]",Partner
National Louis University at UIC College Prep,Montana,Biopsychology,600,2021-10-29,"[41.86526679999999, -87.6756054]",Partner
Saint Xavier University at Winnebago,Idaho,Political Science,600,2021-12-29,"[42.2714852, -89.2403317]",Group
Fort Hays State University at Manhattan,Wisconsin,Agricultural Technology Management,200,2022-09-27,"[39.179633100000004, -96.5915195]",Group
ITT Technical Institute - Hanover,Missouri,Business Administration/Management,600,2022-07-27,"[39.1715825, -76.727164]",Group
Alabama A & M University,Colorado,Kinesiology,600,2022-08-28,"[34.782659100000004, -86.57028950000002]",Partner
Eastern Nazarene College at Roxbury Community College,Alabama,Aquatic Biology,100,2022-07-31,"[42.329242, -71.095479]",Group
Indiana Wesleyan University at Hampton Inn Northwest,Rhode Island,Mineral Engineering ,600,2021-12-29,"[39.882762299999996, -86.26605129999999]",Group
Calumet College of St. Joseph at Geminus Center,California,Ocean Engineering ,200,2022-12-29,"[41.4652592, -87.32072869999998]",Group
Walker Memorial Academy,New Hampshire,Logistics Management,100,2022-12-30,"[27.6278887, -81.52319320000001]",Group
Saint Joseph's College of Maine,Alabama,Photography,100,2021-12-29,"[43.8270272, -70.484296]",Partner
Marinello School of Beauty - Bakersfield,Delaware,Computer Engineering,700,2022-12-28,"[35.3388097, -119.04426529999999]",Group
American International College at Medford High School,New York,Psychology,800,2021-08-27,"[42.4300372, -71.1249843]",Partner
North Arkansas College,Virginia,Turfgrass Science,100,2022-07-28,"[36.2210816, -93.0886963]",Group
Northern Arizona University - Phoenix Biomedical Campus,Washington,Canadian Studies,800,2022-07-31,"[33.4521408, -112.06705890000002]",Group
